"genre","popularity","acousticness","loudness","duration_ms","liveness","tempo","speechiness","danceability","mode","track_name","valence","speechiness.level","loudness.level","liveness.level","tempo.level","duration_s"
"Country",57,0.0064,-3.467,203133,0.316,115.013,0.0365,0.571,"Minor","Kiss Tomorrow Goodbye",0.584,"Low","High","High","Moderate",203.133
"Country",44,0.909,-11.247,138707,0.135,103.643,0.0301,0.667,"Major","River of Happiness",0.709,"Low","Low","High","Moderate",138.707
"Country",43,0.155,-2.714,185493,0.277,96.987,0.0426,0.627,"Major","Love You Out Loud",0.452,"Medium","High","High","Slow",185.493
"Country",36,0.0914,-4.091,218000,0.0602,123.766,0.0387,0.698,"Major","Country Comes To Town",0.685,"Medium","High","Low","Moderate",218
"Country",35,0.147,-5.801,216227,0.172,91.914,0.0256,0.616,"Major","Better Man, Better Off",0.681,"Low","Medium","High","Slow",216.227
"Country",44,0.557,-6.66,206240,0.135,155.932,0.154,0.618,"Major","Cop Car - Acoustic Mixtape",0.675,"High","Medium","High","Fast",206.24
"Country",38,0.717,-11.305,176800,0.113,136.855,0.0391,0.717,"Major","Rudolph The Red-Nosed Reindeer",0.675,"Medium","Low","Low","Fast",176.8
"Country",41,0.245,-9.223,237720,0.114,131,0.0362,0.664,"Minor","County Line",0.249,"Low","Low","Low","Moderate",237.72
"Country",50,0.00403,-6.678,347951,0.127,164.184,0.0315,0.397,"Major","Finger On the Trigger",0.235,"Low","Medium","High","Fast",347.951
"Country",37,0.317,-8.504,203867,0.231,76.885,0.0258,0.472,"Major","Goodbye Time",0.175,"Low","Low","High","Slow",203.867
"Country",56,0.93,-13.341,183667,0.138,85.617,0.0444,0.624,"Major","Coat of Many Colors",0.681,"Medium","Low","High","Slow",183.667
"Country",43,0.0315,-5.699,224719,0.0926,170.103,0.0376,0.471,"Minor","Same Old Song",0.536,"Low","Medium","Low","Fast",224.719
"Country",40,0.0691,-4.18,259187,0.355,107.012,0.0348,0.649,"Major","The Clothes Don't Make The Man",0.589,"Low","High","High","Moderate",259.187
"Country",51,0.334,-5.3,172933,0.106,118.95,0.0311,0.657,"Major","Roses And Sacrifice",0.351,"Low","High","Low","Moderate",172.933
"Country",54,0.26,-7.819,199587,0.144,143.921,0.0776,0.586,"Major","The Good Stuff",0.473,"High","Medium","High","Fast",199.587
"Country",47,0.13,-7.693,178840,0.134,146.831,0.0435,0.607,"Major","All My Rowdy Friends Are Coming Over Tonight",0.877,"Medium","Medium","High","Fast",178.84
"Country",54,0.0439,-7.523,262307,0.0452,141.852,0.0308,0.587,"Major","July In Cheyenne (Song For Lane's Momma)",0.334,"Low","Medium","Low","Fast",262.307
"Country",49,0.118,-3.612,238400,0.0851,151.989,0.033,0.565,"Major","I Don't Care About You",0.449,"Low","High","Low","Fast",238.4
"Country",40,0.24,-6.592,172987,0.199,91.96,0.0257,0.616,"Major","Do You Wish It Was Me?",0.465,"Low","Medium","High","Slow",172.987
"Country",46,0.0332,-5.705,223432,0.0607,105.061,0.0379,0.556,"Major","Bands Make Her Dance",0.275,"Medium","Medium","Low","Moderate",223.432
"Country",44,0.106,-6.246,197700,0.1,159.912,0.0436,0.495,"Major","Everything Changes",0.493,"Medium","Medium","Low","Fast",197.7
"Country",54,0.204,-2.514,197893,0.114,108.011,0.0264,0.676,"Major","Cowboy Hat",0.886,"Low","High","Low","Moderate",197.893
"Country",38,0.0542,-4.924,225740,0.307,170.211,0.106,0.518,"Minor","Goin' Back Down",0.632,"High","High","High","Fast",225.74
"Country",55,0.189,-13.799,178627,0.123,108.987,0.0323,0.597,"Major","Gentle On My Mind - Remastered",0.826,"Low","Low","High","Moderate",178.627
"Country",44,0.0141,-4.563,212701,0.0858,93.894,0.0676,0.447,"Major","Amen",0.303,"High","High","Low","Slow",212.701
"Country",48,0.035,-11.01,246160,0.138,115.03,0.0316,0.692,"Major","The Everclear Song",0.532,"Low","Low","High","Moderate",246.16
"Country",48,0.178,-10.201,286120,0.111,145.018,0.0301,0.622,"Major","I Ain't Living Long Like This",0.78,"Low","Low","Low","Fast",286.12
"Country",41,0.337,-8.545,238533,0.12,164.833,0.0259,0.39,"Major","If You See Him / If You See Her",0.187,"Low","Low","Low","Fast",238.533
"Country",44,0.0674,-5.733,218413,0.383,78.01,0.0297,0.535,"Minor","Smokin' Gun",0.496,"Low","Medium","High","Slow",218.413
"Country",46,0.854,-12.857,234874,0.0992,138.938,0.0313,0.471,"Major","My Old Man - Recorded at Spotify Studios NYC",0.197,"Low","Low","Low","Fast",234.874
"Country",47,0.0263,-9.304,186474,0.376,145.161,0.0937,0.855,"Minor","Blah Blah",0.956,"High","Low","High","Fast",186.474
"Country",39,0.0204,-6.778,159067,0.15,98.026,0.181,0.793,"Major","On Me",0.532,"High","Medium","High","Slow",159.067
"Country",50,0.0331,-5.62,239907,0.134,185.998,0.0835,0.483,"Major","Storm Warning",0.772,"High","Medium","High","Fast",239.907
"Country",51,0.0083,-5.144,319200,0.127,124.479,0.0279,0.643,"Major","17",0.486,"Low","High","High","Moderate",319.2
"Country",48,0.787,-9.483,130293,0.38,113.713,0.0541,0.74,"Major","Running Gun",0.844,"Medium","Low","High","Moderate",130.293
"Country",44,0.714,-10.759,182640,0.21,106.08,0.0263,0.763,"Major","I'm Over You",0.522,"Low","Low","High","Moderate",182.64
"Country",40,0.401,-5.584,206289,0.366,141.95,0.0389,0.558,"Major","Plane Crazy",0.416,"Medium","Medium","High","Fast",206.289
"Country",43,0.658,-8.743,254052,0.36,75.943,0.028,0.503,"Major","I Believe in Love",0.333,"Low","Low","High","Slow",254.052
"Country",35,0.0933,-4.599,185400,0.192,123.007,0.0296,0.61,"Major","Out Of My Heart",0.344,"Low","High","High","Moderate",185.4
"Country",36,0.0442,-5.595,233787,0.0943,90.923,0.0532,0.537,"Major","Bones",0.341,"Medium","Medium","Low","Slow",233.787
"Country",40,0.373,-4.983,216533,0.274,131.99,0.0306,0.699,"Major","This Is How We Roll",0.806,"Low","High","High","Moderate",216.533
"Country",66,0.31,-6.458,207973,0.0709,136.001,0.0268,0.651,"Major","Our Hearts (feat. Lucie Silvas)",0.417,"Low","Medium","Low","Fast",207.973
"Country",54,0.245,-7.542,231293,0.27,98.746,0.0305,0.644,"Major","Ready to Run",0.293,"Low","Medium","High","Slow",231.293
"Country",47,0.0891,-6.67,229695,0.186,115.03,0.109,0.803,"Minor","Dearly Departed",0.533,"High","Medium","High","Moderate",229.695
"Country",45,0.782,-6.898,212533,0.119,159.983,0.0397,0.576,"Major","Take Back Home Girl (feat. Tori Kelly) - Acoustic",0.873,"Medium","Medium","Low","Fast",212.533
"Country",40,0.14,-9.119,184893,0.11,176.796,0.0319,0.565,"Minor","If Your Heart Ain't Busy Tonight",0.841,"Low","Low","Low","Fast",184.893
"Country",43,0.0164,-11.053,186389,0.415,161.957,0.149,0.594,"Minor","King of Dixie",0.331,"High","Low","High","Fast",186.389
"Country",44,0.0835,-4.844,212467,0.13,102.51,0.028,0.671,"Major","Drinks After Work",0.817,"Low","High","High","Moderate",212.467
"Country",56,0.861,-9.626,233240,0.113,99.796,0.0345,0.442,"Major","I Hung My Head",0.375,"Low","Low","Low","Slow",233.24
"Country",38,0.179,-10.12,171910,0.0677,178.125,0.0686,0.44,"Major","This Christmas",0.737,"High","Low","Low","Fast",171.91
"Country",46,0.159,-5.195,272195,0.0803,81.998,0.0879,0.825,"Major","Porch Honky",0.586,"High","High","Low","Slow",272.195
"Country",65,0.0886,-6.316,211547,0.108,140.013,0.0348,0.609,"Major","Prayed For You",0.561,"Low","Medium","Low","Fast",211.547
"Country",80,0.463,-7.226,165387,0.103,98.963,0.0326,0.731,"Major","Body Like A Back Road",0.631,"Low","Medium","Low","Slow",165.387
"Country",40,0.0259,-3.617,203453,0.231,79.216,0.0397,0.422,"Major","Time of Day",0.729,"Medium","High","High","Slow",203.453
"Country",47,0.0235,-5.679,189120,0.131,149.994,0.0311,0.502,"Minor","Just Say When",0.585,"Low","Medium","High","Fast",189.12
"Country",40,0.0249,-2.64,351323,0.0683,112.04,0.0346,0.478,"Major","Voice Inside My Head",0.367,"Low","High","Low","Moderate",351.323
"Country",49,0.547,-6.16,268880,0.0866,163.573,0.0261,0.383,"Major","Tangled Up In You",0.177,"Low","Medium","Low","Fast",268.88
"Country",54,0.413,-5.17,194680,0.0779,155.844,0.0519,0.64,"Major","Better Dig Two",0.646,"Medium","High","Low","Fast",194.68
"Country",35,0.145,-3.828,188786,0.246,101.058,0.0432,0.71,"Major","Two Step",0.852,"Medium","High","High","Moderate",188.786
"Country",48,0.0649,-5.632,206693,0.108,76.009,0.0279,0.586,"Major","Why Me",0.365,"Low","Medium","Low","Slow",206.693
"Country",41,0.348,-5.923,193662,0.229,90.062,0.0303,0.365,"Major","Oklahoma Stars",0.467,"Low","Medium","High","Slow",193.662
"Country",41,0.373,-9.977,177467,0.163,146.519,0.0267,0.603,"Major","It Sure Is Monday",0.83,"Low","Low","High","Fast",177.467
"Country",38,0.701,-5.848,187067,0.104,152.104,0.0282,0.574,"Major","Kill Myself",0.2,"Low","Medium","Low","Fast",187.067
"Country",43,0.193,-5.099,226293,0.313,157.956,0.0573,0.496,"Major","One Beer Can",0.686,"Medium","High","High","Fast",226.293
"Country",47,0.0328,-7.076,224827,0.0881,144.011,0.0376,0.583,"Major","Habit Of You",0.297,"Low","Medium","Low","Fast",224.827
"Country",40,0.367,-5.359,233000,0.386,122.039,0.0267,0.763,"Major","Country Boy's Paradise",0.804,"Low","High","High","Moderate",233
"Country",41,0.0658,-4.395,224700,0.0526,143.909,0.0557,0.519,"Major","Workin' On",0.555,"Medium","High","Low","Fast",224.7
"Country",36,0.283,-10.627,320853,0.127,140.383,0.0415,0.316,"Major","Heartache",0.23,"Medium","Low","High","Fast",320.853
"Country",53,0.0661,-9.27,164706,0.115,123.883,0.0301,0.504,"Major","Into Your Arms",0.619,"Low","Low","Low","Moderate",164.706
"Country",50,0.455,-5.137,195867,0.0818,160.061,0.0681,0.541,"Major","Take You Back",0.554,"High","High","Low","Fast",195.867
"Country",49,0.0568,-4.356,229773,0.224,125.988,0.0858,0.72,"Major","Willie Nelson",0.648,"High","High","High","Moderate",229.773
"Country",49,0.554,-13.317,179973,0.21,88.138,0.0431,0.48,"Major","If I Were a Carpenter",0.685,"Medium","Low","High","Slow",179.973
"Country",38,0.0813,-4.058,222507,0.359,133.022,0.0992,0.612,"Minor","Careless",0.47,"High","High","High","Moderate",222.507
"Country",35,0.0208,-5.453,271027,0.294,146.844,0.0289,0.584,"Major","Lower 48",0.947,"Low","High","High","Fast",271.027
"Country",43,0.529,-7.77,208662,0.108,90.055,0.0296,0.685,"Major","Halfway Home",0.693,"Low","Medium","Low","Slow",208.662
"Country",37,0.053,-5.695,264293,0.0944,108.969,0.0321,0.553,"Minor","Clear Isabel",0.419,"Low","Medium","Low","Moderate",264.293
"Country",39,0.104,-3.411,203342,0.077,86.998,0.03,0.588,"Major","Ride On",0.413,"Low","High","Low","Slow",203.342
"Country",40,0.0116,-4.234,189813,0.103,113.427,0.0368,0.571,"Major","One More Everything",0.553,"Low","High","Low","Moderate",189.813
"Country",51,0.0262,-4.756,206640,0.0994,144.015,0.0291,0.558,"Major","Beers Ago",0.698,"Low","High","Low","Fast",206.64
"Country",40,0.0599,-5.33,199587,0.289,112.537,0.0305,0.624,"Major","Lonely Too Long",0.656,"Low","High","High","Moderate",199.587
"Country",56,0.00631,-4.488,225920,0.189,174.963,0.0336,0.482,"Major","Every Girl",0.81,"Low","High","High","Fast",225.92
"Country",54,0.0418,-4.529,222213,0.15,120.072,0.0519,0.582,"Major","Movin' On",0.486,"Medium","High","High","Moderate",222.213
"Country",51,0.842,-9.593,123373,0.225,90.842,0.0297,0.666,"Major","Saddle Tramp",0.611,"Low","Low","High","Slow",123.373
"Country",49,0.277,-7.87,169940,0.307,129.967,0.196,0.733,"Major","Dying (feat. Mesus)",0.31,"High","Medium","High","Moderate",169.94
"Country",43,0.0127,-5.302,207040,0.173,123.951,0.0765,0.416,"Minor","The Winding Stair Mountain Blues",0.719,"High","High","High","Moderate",207.04
"Country",40,0.138,-9.631,240480,0.149,78.646,0.0295,0.315,"Major","Flying over Water",0.326,"Low","Low","High","Slow",240.48
"Country",42,0.89,-11.168,267867,0.226,125.893,0.0398,0.415,"Major","Angel Flying Too Close to the Ground",0.11,"Medium","Low","High","Moderate",267.867
"Country",42,0.0181,-6.318,245907,0.114,132.687,0.0485,0.454,"Major","Bathroom Sink",0.355,"Medium","Medium","Low","Moderate",245.907
"Country",49,0.00121,-4.748,218493,0.128,173.98,0.0686,0.52,"Major","Footloose",0.844,"High","High","High","Fast",218.493
"Country",55,0.0473,-4.801,193053,0.124,144.054,0.0345,0.562,"Minor","Love Me Or Don't",0.76,"Low","High","High","Fast",193.053
"Country",63,0.0736,-4.038,260017,0.138,136.128,0.0414,0.553,"Major","Red Dirt Road",0.437,"Medium","High","High","Fast",260.017
"Country",51,0.00985,-3.003,188347,0.306,118.02,0.0349,0.657,"Major","Country Song",0.743,"Low","High","High","Moderate",188.347
"Country",40,0.643,-8.813,217880,0.102,143.822,0.0285,0.646,"Major","He Gets That From Me",0.511,"Low","Low","Low","Fast",217.88
"Country",43,0.103,-6.885,224333,0.103,112,0.0242,0.615,"Major","Stuck In These Shoes",0.207,"Low","Medium","Low","Moderate",224.333
"Country",35,0.207,-8.024,216827,0.195,58.095,0.0298,0.323,"Major","Six Feet in the Ground",0.218,"Low","Low","High","Slow",216.827
"Country",38,0.133,-4.525,210107,0.0967,149.81,0.0484,0.437,"Major","Beautiful Every Time",0.558,"Medium","High","Low","Fast",210.107
"Country",51,0.313,-5.001,215787,0.285,76.971,0.033,0.532,"Major","Still Writing Songs About You",0.508,"Low","High","High","Slow",215.787
"Country",40,0.744,-9.612,188160,0.299,153.405,0.0324,0.538,"Major","The Fish Aren't Bitin' Today",0.85,"Low","Low","High","Fast",188.16
"Country",58,0.273,-7.275,220200,0.311,80.771,0.0543,0.612,"Major","Lesson In Leavin'",0.841,"Medium","Medium","High","Slow",220.2
"Country",50,0.0671,-6.675,210480,0.0562,94.228,0.0351,0.641,"Major","Lawyers, Guns and Money - 2007 Remaster",0.746,"Low","Medium","Low","Slow",210.48
"Country",53,0.556,-14.244,156667,0.0792,137.132,0.0559,0.763,"Major","Take This Job and Shove It",0.715,"Medium","Low","Low","Fast",156.667
"Country",45,0.02,-3.772,221968,0.0897,143.876,0.03,0.46,"Major","Forever",0.613,"Low","High","Low","Fast",221.968
"Country",53,0.177,-12.824,304693,0.0643,118.732,0.0289,0.655,"Major","Second Chance",0.528,"Low","Low","Low","Moderate",304.693
"Country",36,0.279,-3.307,214653,0.103,135.018,0.0257,0.561,"Major","Better In the Long Run",0.351,"Low","High","Low","Fast",214.653
"Country",57,0.0247,-4.244,180347,0.31,115.05,0.0394,0.61,"Major","Young & Crazy",0.783,"Medium","High","High","Moderate",180.347
"Country",50,0.205,-6.213,246747,0.122,97.899,0.0367,0.672,"Major","Two Doors Down - from the Dumplin' Original Motion Picture Soundtrack",0.636,"Low","Medium","High","Slow",246.747
"Country",72,0.00184,-5.344,188920,0.0366,85.993,0.0481,0.559,"Minor","Lost in the Middle of Nowhere (feat. Becky G)",0.438,"Medium","High","Low","Slow",188.92
"Country",59,0.0523,-5.616,166739,0.135,95.99,0.0441,0.619,"Major","Country Song",0.814,"Medium","Medium","High","Slow",166.739
"Country",59,0.228,-6.471,250627,0.114,169.867,0.051,0.472,"Major","Long Black Train",0.84,"Medium","Medium","Low","Fast",250.627
"Country",43,0.378,-14.204,157387,0.0966,167.709,0.0403,0.515,"Major","Pacific Ocean Blues",0.934,"Medium","Low","Low","Fast",157.387
"Country",39,0.626,-10.174,341329,0.104,82.955,0.0362,0.564,"Major","Scarecrow",0.144,"Low","Low","Low","Slow",341.329
"Country",43,0.511,-4.267,229573,0.155,149.854,0.0258,0.549,"Major","We Got Us",0.6,"Low","High","High","Fast",229.573
"Country",51,0.0251,-4.098,225653,0.16,173.993,0.0307,0.37,"Minor","Tell Me How You Like It",0.436,"Low","High","High","Fast",225.653
"Country",61,0.00882,-5.647,190840,0.135,110.006,0.0267,0.704,"Major","Reason To Stay",0.745,"Low","Medium","High","Moderate",190.84
"Country",38,0.0182,-5.399,205559,0.0804,159.891,0.0303,0.577,"Major","Boys From Back Home",0.499,"Low","High","Low","Fast",205.559
"Country",43,0.332,-8.14,188467,0.0941,75.132,0.0341,0.669,"Major","Church On Cumberland Road",0.961,"Low","Low","Low","Slow",188.467
"Country",55,0.0297,-7.221,204387,0.272,95.081,0.0582,0.584,"Major","Little Red Wagon",0.774,"Medium","Medium","High","Slow",204.387
"Country",60,0.891,-11.002,161907,0.103,110.21,0.0285,0.668,"Major","Changes",0.342,"Low","Low","Low","Moderate",161.907
"Country",35,0.0623,-10.766,312440,0.0815,76.487,0.0269,0.403,"Major","Hairtrigger Colt's .44",0.223,"Low","Low","Low","Slow",312.44
"Country",39,0.0387,-6.664,204267,0.094,168.096,0.027,0.568,"Major","Who's Kissing You Tonight",0.483,"Low","Medium","Low","Fast",204.267
"Country",60,0.0053,-5.48,182213,0.0807,154.889,0.0291,0.538,"Major","Save It for a Rainy Day",0.614,"Low","High","Low","Fast",182.213
"Country",44,0.204,-5.726,275867,0.146,154.775,0.0322,0.313,"Major","Already Gone",0.373,"Low","Medium","High","Fast",275.867
"Country",54,0.0137,-4.03,175253,0.0556,120.011,0.0579,0.64,"Minor","Gettin' Warmed Up",0.635,"Medium","High","Low","Moderate",175.253
"Country",39,0.222,-5.951,216973,0.101,133.95,0.0257,0.612,"Major","Thank God She Left The Whiskey",0.211,"Low","Medium","Low","Moderate",216.973
"Country",40,0.00132,-9.838,248307,0.0891,80.962,0.0404,0.475,"Major","You're Country",0.24,"Medium","Low","Low","Slow",248.307
"Country",64,0.0457,-4.36,199747,0.0942,104.031,0.043,0.529,"Major","American Country Love Song",0.329,"Medium","High","Low","Moderate",199.747
"Country",54,0.115,-6.719,279080,0.299,92.019,0.0253,0.589,"Major","Carolina",0.452,"Low","Medium","High","Slow",279.08
"Country",43,0.772,-15.643,321373,0.0917,132.77,0.0322,0.568,"Major","Love Can Build A Bridge",0.194,"Low","Low","Low","Moderate",321.373
"Country",57,0.362,-7.097,217960,0.08,130.045,0.0329,0.497,"Major","I Lost You",0.3,"Low","Medium","Low","Moderate",217.96
"Country",45,0.149,-4.375,206040,0.222,125.033,0.0385,0.625,"Major","Altitude Adjustment",0.864,"Medium","High","High","Moderate",206.04
"Country",42,0.12,-7.635,229075,0.357,142.669,0.0241,0.586,"Major","Heaven's High",0.824,"Low","Medium","High","Fast",229.075
"Country",36,0.457,-10.355,194640,0.165,114.802,0.0263,0.693,"Major","The Right Left Hand",0.473,"Low","Low","High","Moderate",194.64
"Country",54,0.23,-14.97,202573,0.0888,89.875,0.0267,0.477,"Major","Music Is Love",0.362,"Low","Low","Low","Slow",202.573
"Country",42,0.642,-5.066,201373,0.289,131.136,0.0304,0.723,"Major","Feliz Navidad",0.86,"Low","High","High","Moderate",201.373
"Country",50,0.000767,-4.4,201131,0.299,107.007,0.0336,0.559,"Minor","Green Light",0.666,"Low","High","High","Moderate",201.131
"Country",42,0.0754,-4.401,263587,0.0434,114.11,0.0532,0.591,"Major","This Ole Boy",0.661,"Medium","High","Low","Moderate",263.587
"Country",57,0.723,-11.873,129373,0.119,85.541,0.0398,0.578,"Major","The Race Is On",0.875,"Medium","Low","Low","Slow",129.373
"Country",37,0.267,-10.119,245533,0.0972,83.997,0.0344,0.645,"Minor","Southern Babylon",0.295,"Low","Low","Low","Slow",245.533
"Country",42,0.0887,-5.554,269920,0.092,104.53,0.0314,0.619,"Major","Keep the Girl",0.395,"Low","Medium","Low","Moderate",269.92
"Country",44,0.931,-12.803,137000,0.0943,111.719,0.0497,0.646,"Major","Mister Sandman",0.468,"Medium","Low","Low","Moderate",137
"Country",39,0.0024,-6.793,160279,0.115,127.994,0.0843,0.748,"Major","Cut 'em All (feat. Willie Robertson)",0.496,"High","Medium","Low","Moderate",160.279
"Country",38,0.601,-10.535,220573,0.0894,94.247,0.0235,0.644,"Major","Ghost In This House",0.342,"Low","Low","Low","Slow",220.573
"Country",48,0.722,-10.421,146840,0.114,101.489,0.0281,0.62,"Major","Hello Walls",0.695,"Low","Low","Low","Moderate",146.84
"Country",37,0.0945,-7.426,211093,0.15,123.934,0.0326,0.603,"Major","It Must Be Christmas",0.414,"Low","Medium","High","Moderate",211.093
"Country",43,0.178,-7.048,243947,0.194,185.882,0.0271,0.316,"Major","I Breathe In, I Breathe Out",0.242,"Low","Medium","High","Fast",243.947
"Country",37,0.00111,-4.178,288933,0.363,125.942,0.0314,0.609,"Major","Fast as You - Remastered",0.905,"Low","High","High","Moderate",288.933
"Country",51,0.0951,-1.375,197172,0.107,163.981,0.0909,0.513,"Major","Hooked On It",0.586,"High","High","Low","Fast",197.172
"Country",59,0.227,-4.314,193187,0.184,183.303,0.0498,0.511,"Major","The Only Way I Know (with Luke Bryan and Eric Church)",0.607,"Medium","High","High","Fast",193.187
"Country",44,0.00559,-7.148,168298,0.132,160.085,0.0592,0.442,"Minor","Llewellyn",0.504,"Medium","Medium","High","Fast",168.298
"Country",34,0.794,-10.175,221187,0.152,112.874,0.029,0.688,"Major","Nowhere to Go, Nowhere to Be",0.373,"Low","Low","High","Moderate",221.187
"Country",47,0.0173,-3.701,203747,0.111,139.993,0.0379,0.457,"Major","Broke Down",0.454,"Medium","High","Low","Fast",203.747
"Country",48,0.155,-5.438,242640,0.0716,151.937,0.0383,0.53,"Major","Asphalt Cowboy",0.517,"Medium","High","Low","Fast",242.64
"Country",36,0.39,-5.357,179846,0.176,159.986,0.0318,0.538,"Major","Everybody Needs Somebody",0.531,"Low","High","High","Fast",179.846
"Country",46,0.469,-7.183,228573,0.0912,143.908,0.0255,0.517,"Major","Live Life",0.529,"Low","Medium","Low","Fast",228.573
"Country",39,0.905,-9.24,207760,0.298,169.908,0.0339,0.272,"Minor","I'll Be Home For Christmas",0.0995,"Low","Low","High","Fast",207.76
"Country",62,0.0159,-6.107,185474,0.162,156.107,0.0331,0.591,"Major","Man Enough Now",0.502,"Low","Medium","High","Fast",185.474
"Country",48,0.338,-6.034,177333,0.136,87.895,0.0268,0.557,"Major","The Image of Me",0.45,"Low","Medium","High","Slow",177.333
"Country",46,0.654,-6.697,201093,0.0743,79.921,0.043,0.586,"Major","But I Do Love You",0.608,"Medium","Medium","Low","Slow",201.093
"Country",54,0.287,-5.233,292747,0.122,153.783,0.0331,0.615,"Major","Day That I Die (feat. Amos Lee)",0.517,"Low","High","High","Fast",292.747
"Country",45,0.125,-4.202,181494,0.069,163.958,0.0326,0.466,"Major","If the World Had a Front Porch",0.592,"Low","High","Low","Fast",181.494
"Country",38,0.0476,-4.715,358373,0.0719,120.038,0.0537,0.869,"Major","Creature (feat. Twiztid & Rittz)",0.244,"Medium","High","Low","Moderate",358.373
"Country",50,0.15,-3.703,274720,0.122,143.596,0.0349,0.334,"Major","Kingdom",0.201,"Low","High","High","Fast",274.72
"Country",37,0.0629,-7.536,211453,0.0827,80.001,0.0587,0.675,"Major","Country Boy Love",0.71,"Medium","Medium","Low","Slow",211.453
"Country",64,0.56,-5.774,220173,0.109,141.733,0.0363,0.441,"Major","Tomorrow",0.349,"Low","Medium","Low","Fast",220.173
"Country",47,0.167,-6.243,222693,0.0907,120.004,0.0341,0.652,"Minor","High Horse - Violents Remix",0.762,"Low","Medium","Low","Moderate",222.693
"Country",39,0.282,-11.008,225293,0.237,126.229,0.029,0.697,"Major","Walk Softly On This Heart Of Mine",0.858,"Low","Low","High","Moderate",225.293
"Country",56,0.127,-7.175,186067,0.0344,101.99,0.0352,0.627,"Major","The Way You Love Me",0.734,"Low","Medium","Low","Moderate",186.067
"Country",39,0.426,-7.602,200417,0.356,95.989,0.101,0.737,"Minor","Still Falling",0.715,"High","Medium","High","Slow",200.417
"Country",38,0.549,-11.266,145187,0.144,102.485,0.0397,0.607,"Minor","Waitin' Round to Die",0.507,"Medium","Low","High","Moderate",145.187
"Country",45,0.817,-13.399,162133,0.121,85.09,0.0302,0.586,"Major","Dropkick Me, Jesus",0.451,"Low","Low","High","Slow",162.133
"Country",36,0.0443,-5.343,234307,0.0959,143.852,0.0285,0.456,"Major","Let Me",0.513,"Low","High","Low","Fast",234.307
